Species,Year
Agrostis capillaris,1991
Arrhenatherum elatius,1991
Achillea millefolium,1991
Anthoxanthum odoratum,1991
Briza media,1991
Crepis capillaris,1991
Conopodium majus,1991
Centaurea nigra,1991
Dactylis glomerata,1991
Festuca rubra,1991
Holcus lanatus,1991
Helictotrichon pubescens,1991
Luzula campestris,1991
Leontodon hispidus,1991
Lotus corniculatus,1991
Lathyrus pratensis,1991
Plantago lanceolata,1991
Poa pratensis,1991
Pimpinella saxifraga,1991
Ranunculus acris,1991
Ranunculus bulbosus,1991
Rumex acetosa,1991
Sanguisorba minor,1991
Trisetum flavescens,1991
Taraxacum officinale,1991
Trifolium pratense,1991
Trifolium repens,1991
Agrostis capillaris,1991
Arrhenatherum elatius,1991
Achillea millefolium,1991
Anthoxanthum odoratum,1991
Alopecurus pratensis,1991
Briza media,1991
Crepis capillaris,1991
Conopodium majus,1991
Centaurea nigra,1991
Dactylis glomerata,1991
Festuca rubra,1991
Holcus lanatus,1991
Helictotrichon pubescens,1991
Luzula campestris,1991
Leontodon hispidus,1991
Lotus corniculatus,1991
Lathyrus pratensis,1991
Plantago lanceolata,1991
Pimpinella saxifraga,1991
Ranunculus acris,1991
Rumex acetosa,1991
Sanguisorba minor,1991
Trisetum flavescens,1991
Tragopogon pratensis,1991
Taraxacum officinale,1991
Agrostis capillaris,1991
Anthoxanthum odoratum,1991
Crepis capillaris,1991
Festuca rubra,1991
Luzula campestris,1991
Lathyrus pratensis,1991
Pimpinella saxifraga,1991
Ranunculus bulbosus,1991
Trifolium pratense,1991
Agrostis capillaris,1991
Anthoxanthum odoratum,1991
Luzula campestris,1991
Agrostis capillaris,1991
Achillea millefolium,1991
Anthoxanthum odoratum,1991
Ajuga reptans,1991
Agrimonia eupatoria,1991
Briza media,1991
Crepis capillaris,1991
Cerastium fontanum,1991
Conopodium majus,1991
Centaurea nigra,1991
Carex caryophyllea,1991
Dactylis glomerata,1991
Festuca rubra,1991
Pilosella officinarum,1991
Holcus lanatus,1991
Helictotrichon pubescens,1991
Luzula campestris,1991
Leontodon hispidus,1991
Lotus corniculatus,1991
Lathyrus pratensis,1991
Ophioglossum vulgatum,1991
Plantago lanceolata,1991
Pimpinella saxifraga,1991
Ranunculus acris,1991
Ranunculus bulbosus,1991
Rumex acetosa,1991
Sanguisorba minor,1991
Trisetum flavescens,1991
Tragopogon pratensis,1991
Trifolium pratense,1991
Agrostis capillaris,1991
Arrhenatherum elatius,1991
Achillea millefolium,1991
Anthoxanthum odoratum,1991
Ajuga reptans,1991
Briza media,1991
Crepis capillaris,1991
Cerastium fontanum,1991
Conopodium majus,1991
Centaurea nigra,1991
Dactylis glomerata,1991
Festuca rubra,1991
Holcus lanatus,1991
Helictotrichon pubescens,1991
Knautia arvensis,1991
Luzula campestris,1991
Leontodon hispidus,1991
Lotus corniculatus,1991
Lathyrus pratensis,1991
Plantago lanceolata,1991
Poa pratensis,1991
Pimpinella saxifraga,1991
Prunella vulgaris,1991
Ranunculus acris,1991
Sanguisorba minor,1991
Trisetum flavescens,1991
Tragopogon pratensis,1991
Taraxacum officinale,1991
Trifolium pratense,1991
Agrostis capillaris,1991
Arrhenatherum elatius,1991
Achillea millefolium,1991
Anthoxanthum odoratum,1991
Ajuga reptans,1991
Briza media,1991
Crepis capillaris,1991
Conopodium majus,1991
Centaurea nigra,1991
Carex caryophyllea,1991
Dactylis glomerata,1991
Festuca rubra,1991
Holcus lanatus,1991
Luzula campestris,1991
Leontodon hispidus,1991
Lotus corniculatus,1991
Lathyrus pratensis,1991
Plantago lanceolata,1991
Pimpinella saxifraga,1991
Ranunculus acris,1991
Ranunculus bulbosus,1991
Sanguisorba minor,1991
Trisetum flavescens,1991
Taraxacum officinale,1991
Trifolium pratense,1991
Trifolium repens,1991
Agrostis capillaris,1991
Arrhenatherum elatius,1991
Achillea millefolium,1991
Anthoxanthum odoratum,1991
Ajuga reptans,1991
Briza media,1991
Crepis capillaris,1991
Conopodium majus,1991
Centaurea nigra,1991
Carex caryophyllea,1991
Dactylis glomerata,1991
Festuca rubra,1991
Galium verum,1991
Holcus lanatus,1991
Hypochoeris radicata,1991
Knautia arvensis,1991
Luzula campestris,1991
Leontodon hispidus,1991
Lotus corniculatus,1991
Plantago lanceolata,1991
Pimpinella saxifraga,1991
Prunella vulgaris,1991
Ranunculus acris,1991
Ranunculus bulbosus,1991
Stachys officinalis,1991
Trisetum flavescens,1991
Agrostis capillaris,1991
Achillea millefolium,1991
Anthoxanthum odoratum,1991
Alopecurus pratensis,1991
Ajuga reptans,1991
Briza media,1991
Conopodium majus,1991
Centaurea nigra,1991
Carex caryophyllea,1991
Dactylis glomerata,1991
Festuca rubra,1991
Holcus lanatus,1991
Helictotrichon pubescens,1991
Knautia arvensis,1991
Luzula campestris,1991
Leontodon hispidus,1991
Lotus corniculatus,1991
Lathyrus pratensis,1991
Plantago lanceolata,1991
Poa pratensis,1991
Pimpinella saxifraga,1991
Prunella vulgaris,1991
Ranunculus acris,1991
Ranunculus bulbosus,1991
Sanguisorba minor,1991
Trisetum flavescens,1991
Taraxacum officinale,1991
Trifolium pratense,1991
Agrostis capillaris,1991
Achillea millefolium,1991
Anthoxanthum odoratum,1991
Ajuga reptans,1991
Briza media,1991
Cerastium fontanum,1991
Conopodium majus,1991
Centaurea nigra,1991
Carex caryophyllea,1991
Dactylis glomerata,1991
Festuca rubra,1991
Holcus lanatus,1991
Helictotrichon pubescens,1991
Knautia arvensis,1991
Luzula campestris,1991
Leontodon hispidus,1991
Lotus corniculatus,1991
Lathyrus pratensis,1991
Plantago lanceolata,1991
Poa pratensis,1991
Pimpinella saxifraga,1991
Ranunculus acris,1991
Ranunculus bulbosus,1991
Sanguisorba minor,1991
Trisetum flavescens,1991
Taraxacum officinale,1991
Trifolium pratense,1991
Trifolium repens,1991
Veronica chamaedrys,1991
Agrostis capillaris,1991
Achillea millefolium,1991
Anthoxanthum odoratum,1991
Ajuga reptans,1991
Briza media,1991
Crepis capillaris,1991
Cerastium fontanum,1991
Conopodium majus,1991
Centaurea nigra,1991
Carex flacca,1991
Carex caryophyllea,1991
Dactylis glomerata,1991
Festuca rubra,1991
Pilosella officinarum,1991
Holcus lanatus,1991
Heracleum sphondylium,1991
Knautia arvensis,1991
Luzula campestris,1991
Leontodon hispidus,1991
Lotus corniculatus,1991
Lathyrus pratensis,1991
Plantago lanceolata,1991
Pimpinella saxifraga,1991
Prunella vulgaris,1991
Ranunculus acris,1991
Ranunculus bulbosus,1991
Rumex acetosa,1991
Sanguisorba minor,1991
Trisetum flavescens,1991
Taraxacum officinale,1991
Trifolium pratense,1991
Agrostis capillaris,1991
Achillea millefolium,1991
Anthoxanthum odoratum,1991
Ajuga reptans,1991
Briza media,1991
Crepis capillaris,1991
Conopodium majus,1991
Centaurea nigra,1991
Carex caryophyllea,1991
Dactylis glomerata,1991
Festuca rubra,1991
Galium verum,1991
Pilosella officinarum,1991
Holcus lanatus,1991
Hypochoeris radicata,1991
Knautia arvensis,1991
Luzula campestris,1991
Leontodon hispidus,1991
Linum catharticum,1991
Lotus corniculatus,1991
Lathyrus pratensis,1991
Plantago lanceolata,1991
Potentilla reptans,1991
Pimpinella saxifraga,1991
Prunella vulgaris,1991
Ranunculus acris,1991
Ranunculus bulbosus,1991
Rumex acetosa,1991
Sanguisorba minor,1991
Trisetum flavescens,1991
Taraxacum officinale,1991
Trifolium pratense,1991
Agrostis capillaris,1991
Arrhenatherum elatius,1991
Achillea millefolium,1991
Anthoxanthum odoratum,1991
Alopecurus pratensis,1991
Briza media,1991
Cerastium fontanum,1991
Conopodium majus,1991
Centaurea nigra,1991
Dactylis glomerata,1991
Festuca rubra,1991
Holcus lanatus,1991
Helictotrichon pubescens,1991
Knautia arvensis,1991
Luzula campestris,1991
Leontodon hispidus,1991
Lotus corniculatus,1991
Plantago lanceolata,1991
Poa pratensis,1991
Pimpinella saxifraga,1991
Ranunculus acris,1991
Rumex acetosa,1991
Sanguisorba minor,1991
Trisetum flavescens,1991
Trifolium pratense,1991
Veronica chamaedrys,1991
Agrostis capillaris,1991
Arrhenatherum elatius,1991
Achillea millefolium,1991
Anthoxanthum odoratum,1991
Alopecurus pratensis,1991
Ajuga reptans,1991
Briza media,1991
Crepis capillaris,1991
Cerastium fontanum,1991
Conopodium majus,1991
Centaurea nigra,1991
Dactylis glomerata,1991
Festuca rubra,1991
Holcus lanatus,1991
Helictotrichon pubescens,1991
Luzula campestris,1991
Leontodon hispidus,1991
Lotus corniculatus,1991
Plantago lanceolata,1991
Poa pratensis,1991
Pimpinella saxifraga,1991
Poa trivialis,1991
Ranunculus acris,1991
Rumex acetosa,1991
Sanguisorba minor,1991
Trisetum flavescens,1991
Taraxacum officinale,1991
Trifolium pratense,1991
Veronica chamaedrys,1991
Agrostis capillaris,1991
Achillea millefolium,1991
Anthoxanthum odoratum,1991
Alopecurus pratensis,1991
Crepis capillaris,1991
Conopodium majus,1991
Centaurea nigra,1991
Dactylis glomerata,1991
Festuca rubra,1991
Holcus lanatus,1991
Helictotrichon pubescens,1991
Luzula campestris,1991
Leontodon hispidus,1991
Lathyrus pratensis,1991
Ononis repens,1991
Plantago lanceolata,1991
Poa pratensis,1991
Pimpinella saxifraga,1991
Ranunculus acris,1991
Rumex acetosa,1991
Sanguisorba minor,1991
Trisetum flavescens,1991
Trifolium pratense,1991
Agrostis capillaris,1991
Arrhenatherum elatius,1991
Achillea millefolium,1991
Anthoxanthum odoratum,1991
Briza media,1991
Crepis capillaris,1991
Cerastium fontanum,1991
Conopodium majus,1991
Centaurea nigra,1991
Dactylis glomerata,1991
Festuca rubra,1991
Holcus lanatus,1991
Luzula campestris,1991
Leontodon hispidus,1991
Lolium perenne,1991
Lotus corniculatus,1991
Lathyrus pratensis,1991
